Country_Name,Country_Code,Population
Sint Maarten (Dutch part),SXM,39088
Seychelles,SYC,88303
Syrian Arab Republic,SYR,22399254
Turks and Caicos Islands,TCA,32427
Chad,TCD,12448175
Togo,TGO,6642928
Thailand,THA,66785001
Tajikistan,TJK,8008990
Turkmenistan,TKM,5172931
Timor-Leste,TLS,1210233
Tonga,TON,104941
Trinidad and Tobago,TTO,1337439
Tunisia,TUN,10777500
Turkey,TUR,73997128
Tuvalu,TUV,9860
Tanzania,TZA,47783107
Uganda,UGA,36345860
Ukraine,UKR,45593300
Upper middle income,UMC,2390596275
Uruguay,URY,3395253
United States,USA,313914040
Uzbekistan,UZB,29774500
St. Vincent and the Grenadines,VCT,109373
"Venezuela, RB",VEN,29954782
Virgin Islands (U.S.),VIR,105275
Vietnam,VNM,88772900
Vanuatu,VUT,247262
West Bank and Gaza,PSE,4046901
World,WLD,7043902890
Samoa,WSM,188889
"Yemen, Rep.",YEM,23852409
South Africa,ZAF,52274945
"Congo, Dem. Rep.",COD,65705093
Zambia,ZMB,14075099
Zimbabwe,ZWE,13724317
Taiwan,TWN,23373517
